Date/Time,Total Energy Usage
7/11/2019 23:15,21.62350032
7/11/2019 23:30,21.95112911
7/11/2019 23:45,148.415851
7/12/2019 0:00,148.7434798
7/12/2019 0:15,148.9072942
7/12/2019 0:30,148.0882222
7/12/2019 0:45,20.96824273
7/12/2019 1:00,22.2787579
7/12/2019 1:15,148.7434797
7/12/2019 1:30,146.2862638
7/12/2019 1:45,147.9244079
7/12/2019 2:00,20.64061394
7/12/2019 2:15,20.64061394
7/12/2019 2:30,20.64061394
7/12/2019 2:45,20.64061394
7/12/2019 3:00,21.62350032
7/12/2019 3:15,20.96824273
7/12/2019 3:30,20.96824273
7/12/2019 3:45,23.26164428
7/12/2019 4:00,25.55504583
7/12/2019 4:15,24.24453066
7/12/2019 4:30,23.26164428
7/12/2019 4:45,24.57215945
7/12/2019 5:00,162.176261
7/12/2019 5:15,177.7386293
7/12/2019 5:30,178.5577011
7/12/2019 5:45,33.09050806
7/12/2019 6:00,32.76287927
7/12/2019 6:15,34.72865202
7/12/2019 6:30,186.0931636
7/12/2019 6:45,191.3352246
7/12/2019 7:00,35.7115384
7/12/2019 7:15,36.03916719
7/12/2019 7:30,199.3621303
7/12/2019 7:45,199.3621303
7/12/2019 8:00,38.98782633
7/12/2019 8:15,38.98782633
7/12/2019 8:30,198.8706871
7/12/2019 8:45,199.3621303
7/12/2019 9:00,202.3107896
7/12/2019 9:15,233.1078981
7/12/2019 9:30,220.8218177
7/12/2019 9:45,225.7362497
7/12/2019 10:00,224.0981057
7/12/2019 10:15,227.3743938
7/12/2019 10:30,226.7191362
7/12/2019 10:45,224.7533634
7/12/2019 11:00,225.5724354
7/12/2019 11:15,227.5382082
7/12/2019 11:30,225.2448065
7/12/2019 11:45,229.3401667
7/12/2019 12:00,220.8218176
7/12/2019 12:15,220.3303745
7/12/2019 12:30,222.2961473
7/12/2019 12:45,218.528416
7/12/2019 13:00,217.2179008
7/12/2019 13:15,215.4159424
7/12/2019 13:30,216.0712
7/12/2019 13:45,220.1665602
7/12/2019 14:00,35.05628082
7/12/2019 14:15,33.74576565
7/12/2019 14:30,211.6482111
7/12/2019 14:45,34.40102323
7/12/2019 15:00,33.09050806
7/12/2019 15:15,214.2692416
7/12/2019 15:30,33.74576565
7/12/2019 15:45,33.09050806
7/12/2019 16:00,34.07339444
7/12/2019 16:15,215.0883136
7/12/2019 16:30,210.5015104
7/12/2019 16:45,211.156768
7/12/2019 17:00,210.1738815
7/12/2019 17:15,200.1812028
7/12/2019 17:30,190.0247096
7/12/2019 17:45,189.8608951
7/12/2019 18:00,182.489247
7/12/2019 18:15,26.53793221
7/12/2019 18:30,26.53793221
7/12/2019 18:45,164.3058481
7/12/2019 19:00,161.8486321
7/12/2019 19:15,161.3571888
7/12/2019 19:30,22.60638669
7/12/2019 19:45,20.96824273
7/12/2019 20:00,155.7874992
7/12/2019 20:15,154.1493552
7/12/2019 20:30,150.7092527
7/12/2019 20:45,156.1151281
7/12/2019 21:00,152.5112111
7/12/2019 21:15,154.3131696
7/12/2019 21:30,154.476984
7/12/2019 21:45,153.9855408
7/12/2019 22:00,152.019768
7/12/2019 22:15,152.3473968
7/12/2019 22:30,153.9855407
7/12/2019 22:45,150.2178094
7/12/2019 23:00,151.8559535
7/12/2019 23:15,149.7263662
7/12/2019 23:30,152.8388399
7/12/2019 23:45,150.053995
7/13/2019 0:00,20.96824273
7/13/2019 0:15,21.95112911
7/13/2019 0:30,147.2691502
7/13/2019 0:45,20.64061394
7/13/2019 1:00,20.96824273
7/13/2019 1:15,148.415851
7/13/2019 1:30,20.96824273
7/13/2019 1:45,19.98535635
7/13/2019 2:00,147.596779
7/13/2019 2:15,150.3816238
7/13/2019 2:30,148.5796654
7/13/2019 2:45,148.0882222
7/13/2019 3:00,146.9415214
7/13/2019 3:15,23.26164428
7/13/2019 3:30,21.29587152
7/13/2019 3:45,150.7092526
7/13/2019 4:00,150.3816238
7/13/2019 4:15,21.95112911
7/13/2019 4:30,21.29587152
7/13/2019 4:45,21.95112911
7/13/2019 5:00,164.4696626
7/13/2019 5:15,133.6725547
7/13/2019 5:30,150.7092527
7/13/2019 5:45,149.0711086
7/13/2019 6:00,147.7605934
7/13/2019 6:15,148.0882222
7/13/2019 6:30,147.9244078
7/13/2019 6:45,148.5796654
7/13/2019 7:00,147.9244078
7/13/2019 7:15,147.7605934
7/13/2019 7:30,145.6310061
7/13/2019 7:45,147.5967789
7/13/2019 8:00,147.596779
7/13/2019 8:15,21.29587152
7/13/2019 8:30,20.96824273
7/13/2019 8:45,147.7605934
7/13/2019 9:00,146.1224493
7/13/2019 9:15,148.7434798
7/13/2019 9:30,151.0368815
7/13/2019 9:45,20.64061394
7/13/2019 10:00,20.96824273
7/13/2019 10:15,20.31298515
7/13/2019 10:30,21.95112911
7/13/2019 10:45,20.96824273
7/13/2019 11:00,20.64061394
7/13/2019 11:15,146.2862638
7/13/2019 11:30,21.29587152
7/13/2019 11:45,20.64061394
7/13/2019 12:00,147.596779
7/13/2019 12:15,21.62350032
7/13/2019 12:30,20.64061394
7/13/2019 12:45,149.8901807
7/13/2019 13:00,20.96824273
7/13/2019 13:15,21.95112911
7/13/2019 13:30,147.2691502
7/13/2019 13:45,149.7263662
7/13/2019 14:00,148.5796654
7/13/2019 14:15,21.62350032
7/13/2019 14:30,20.96824273
7/13/2019 14:45,20.64061394
7/13/2019 15:00,19.98535635
7/13/2019 15:15,152.3473967
7/13/2019 15:30,149.0711087
7/13/2019 15:45,149.8901807
7/13/2019 16:00,151.5283247
7/13/2019 16:15,150.2178095
7/13/2019 16:30,20.31298515
7/13/2019 16:45,20.96824273
7/13/2019 17:00,147.7605934
7/13/2019 17:15,20.64061394
7/13/2019 17:30,19.98535635
7/13/2019 17:45,20.96824273
7/13/2019 18:00,21.29587152
7/13/2019 18:15,20.96824273
7/13/2019 18:30,20.31298515
7/13/2019 18:45,148.0882222
7/13/2019 19:00,148.415851
7/13/2019 19:15,148.415851
7/13/2019 19:30,147.4329646
7/13/2019 19:45,147.7605934
7/13/2019 20:00,147.7605934
7/13/2019 20:15,147.9244078
7/13/2019 20:30,20.64061394
7/13/2019 20:45,20.64061394
7/13/2019 21:00,20.31298515
7/13/2019 21:15,148.9072942
7/13/2019 21:30,148.2520366
7/13/2019 21:45,146.9415214
7/13/2019 22:00,146.6138926
7/13/2019 22:15,20.96824273
7/13/2019 22:30,22.93401549
7/13/2019 22:45,147.7605934
7/13/2019 23:15,150.3816238
7/13/2019 23:30,149.234923
7/13/2019 23:45,148.5796654
7/14/2019 0:00,148.5796654
7/14/2019 0:15,147.7605933
7/14/2019 0:30,147.2691502
7/14/2019 0:45,147.4329646
7/14/2019 1:00,152.3473967
7/14/2019 1:15,147.9244077
7/14/2019 1:30,21.29587152
7/14/2019 1:45,20.64061394
7/14/2019 2:00,20.31298515
7/14/2019 2:15,20.96824273
7/14/2019 2:30,147.9244078
7/14/2019 2:45,148.2520366
7/15/2019 14:45,0
7/15/2019 15:00,214.9244991
7/15/2019 15:15,36.03916719
7/15/2019 15:30,35.38390961
7/15/2019 15:45,36.03916719
7/15/2019 16:00,34.72865202
7/15/2019 16:15,214.5968703
7/15/2019 16:30,208.8633661
7/15/2019 16:45,208.8633662
7/15/2019 17:00,205.0956348
7/15/2019 17:15,201.1640891
7/15/2019 17:30,196.0858425
7/15/2019 17:45,33.09050806
7/15/2019 18:00,31.77999289
7/15/2019 18:15,32.43525048
7/15/2019 18:30,29.81422013
7/15/2019 18:45,169.2202801
7/15/2019 19:00,168.8926513
7/15/2019 19:15,167.7459504
7/15/2019 19:30,165.2887344
